data_fato;hora_fato;data_criacao;tipo_boletim;tipo_incidente;municipio;bairro;tipo_local;ano;mes ;mes_ano;ambiente_web
01/01/2025;14:17:00;01/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;VILA INDEPENDENCIA;VIA PÚBLICA;2025;1;01/2025;0
01/01/2025;22:54:00;02/01/2025;BABU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;SERRA CENTRO;VIA PÚBLICA;2025;1;01/2025;0
01/01/2025;10:40:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;MARIA ORTIZ;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;08:00:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;ILHA DOS AYRES;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;10:00:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;PINHEIROS;COLINA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;23:30:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;VILA NOVA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;18:00:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;MARATAIZES;BARRA DE ITAPEMIRIM;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;02:38:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;JARDIM CARAPINA;RESIDÊNCIA;2025;1;01/2025;0
01/01/2025;15:10:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;NOVA VENECIA;OUTRO LOCAL;ESCRITORIO;2025;1;01/2025;0
01/01/2025;19:00:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;MATA DA PRAIA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;12:38:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;PRAIA DE ITAPARICA;RESIDÊNCIA;2025;1;01/2025;0
01/01/2025;16:30:00;02/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;RESIDENCIAL COQUEIRAL;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;21:16:00;03/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;PRAIA DO CANTO;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;23:00:00;03/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;TERRA VERMELHA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;00:00:00;03/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;CARAPINA I;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;13:00:00;06/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;BARRAMARES;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;12:28:00;06/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;CENTRO;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;15:14:00;07/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;CENTRO VILA VELHA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;22:27:00;07/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;COLINA DE LARANJEIRAS;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;07:31:00;08/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;OUTRO LOCAL;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;19:52:00;08/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;ROSA DA PENHA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;19:45:00;08/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;PRAIA DA COSTA;VIA PÚBLICA;2025;1;01/2025;0
01/01/2025;Indeterminada;08/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;LINHARES;FARIAS;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;Indeterminada;14/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;MARECHAL FLORIANO;VALE DAS PALMAS;AGÊNCIA BANCÁRIA;2025;1;01/2025;0
01/01/2025;10:00:00;15/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CONCEICAO DA BARRA;OUTRO LOCAL;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;Indeterminada;17/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SAO MATEUS;OUTRO LOCAL;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;19:20:00;20/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VENDA NOVA DO IMIGRANTE;SAO JOAO DE VICOSA;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;12:02:00;30/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;GUACUI;JOREMA;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;Indeterminada;31/01/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;DOMINGOS MARTINS;ZONA RURAL;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;02:31:00;01/02/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;OUTRO LOCAL;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;19:39:00;06/02/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;BOM JESUS DO NORTE;CENTRO;RESIDÊNCIA;2025;1;01/2025;0
01/01/2025;Indeterminada;18/02/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;BARRAMARES;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;Indeterminada;20/02/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SAO MATEUS;OUTRO LOCAL;COMÉRCIO;2025;1;01/2025;0
01/01/2025;Indeterminada;20/02/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;BALNEARIO DE CARAPEBUS;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;12:00:00;20/02/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;ITAPOA;RESIDÊNCIA;2025;1;01/2025;0
01/01/2025;Indeterminada;13/03/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;PLANALTO SERRANO;AGÊNCIA BANCÁRIA;2025;1;01/2025;0
01/01/2025;Indeterminada;14/03/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;TAQUARA I;RESIDÊNCIA;2025;1;01/2025;0
01/01/2025;03:06:00;18/03/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;ARACRUZ;SAUE;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;Indeterminada;25/03/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;MARATAIZES;CIDADE NOVA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;Indeterminada;25/03/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;PRESIDENTE KENNEDY;CAMPO NOVO I;RESIDÊNCIA;2025;1;01/2025;0
01/01/2025;00:00:00;04/04/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;ITACIBA;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;Indeterminada;07/04/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CACHOEIRO DE ITAPEMIRIM;OUTRO LOCAL;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;13:00:00;09/04/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;NOVO BRASIL;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;Indeterminada;11/04/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;BALNEARIO DE CARAPEBUS;OUTRO LOCAL;2025;1;01/2025;0
01/01/2025;12:00:00;17/04/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;BAIXO GUANDU;SAO JOSE;COMÉRCIO;2025;1;01/2025;0
01/01/2025;00:00:00;23/04/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;OUTRO LOCAL;AGÊNCIA BANCÁRIA;2025;1;01/2025;0
01/01/2025;Indeterminada;02/05/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;ANCHIETA;ALVORADA;AMBIENTE WEB;2025;1;01/2025;1
01/01/2025;Indeterminada;02/06/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;CIVIT I;AGÊNCIA BANCÁRIA;2025;1;01/2025;0
01/01/2025;14:30:00;02/06/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;SAO PEDRO;ESCOLA;2025;1;01/2025;0
01/01/2025;09:30:00;02/06/2025;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;ITAPOA;OUTRO LOCAL;2025;1;01/2025;0
