data_fato;hora_fato;data_criacao;tipo_boletim;tipo_incidente;municipio;bairro;tipo_local;ano;mes ;mes_ano;ambiente_web
01/01/2023;11:00:00;01/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;JOCKEY DE ITAPARICA;VIA PÚBLICA;2023;1;01/2023;0
01/01/2023;10:00:00;01/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;ATAIDE;RESIDÊNCIA;2023;1;01/2023;0
01/01/2023;04:00:00;02/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;SANTA PAULA II;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;10:44:00;02/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;ALEGRE;GUARAREMA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;18:00:00;02/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;MARATAIZES;JACARANDA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;19:05:00;02/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;ANDRE CARLONI;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;Indeterminada;02/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;JARDIM DA PENHA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;10:20:00;03/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;RESISTENCIA;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;15:00:00;03/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;MORADA DE LARANJEIRAS;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;01:04:00;03/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SAO MATEUS;GURIRI;RESIDÊNCIA;2023;1;01/2023;0
01/01/2023;17:18:00;03/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;LINHARES;INTERLAGOS;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;16:00:00;03/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;ARACRUZ;OUTRO LOCAL;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;23:24:00;03/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;GUARAPARI;PORTO GRANDE;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;00:00:00;04/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;PONTO BELO;CENTRO;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;14:00:00;05/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;ARIBIRI;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;14:43:00;06/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;PRAIA DE ITAPARICA;RESIDÊNCIA;2023;1;01/2023;0
01/01/2023;16:30:00;06/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SOORETAMA;CENTRO;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;22:30:00;09/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;ZONA NAO IDENTIFICADA I;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;Indeterminada;13/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;BARRA DE SAO FRANCISCO;BAIRRO COLINA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;08:00:00;14/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;GUARAPARI;PRAIA DO MORRO;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;00:00:00;16/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VITORIA;MATA DA PRAIA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;Indeterminada;20/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SAO GABRIEL DA PALHA;GUSTAVO BOONE;RESIDÊNCIA;2023;1;01/2023;0
01/01/2023;15:00:00;26/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CARIACICA;GRAUNA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;12:00:00;26/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;MUQUI;SAO PEDRO;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;08:00:00;31/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;NOVA VENECIA;SAO CRISTOVAO;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;09:13:00;31/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;GUARAPARI;MUQUICABA;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;00:02:00;31/01/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;CACHOEIRO DE ITAPEMIRIM;AMARAL;OUTRO LOCAL;2023;1;01/2023;0
01/01/2023;19:43:00;07/02/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;ANDRE CARLONI;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;10:00:00;14/02/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;VILA VELHA;RIVIERA DA BARRA;AMBIENTE WEB;2023;1;01/2023;1
01/01/2023;08:30:00;14/02/2023;BU;CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE;SERRA;PARQUE RESIDENCIAL LARANJEIRAS;AMBIENTE WEB;2023;1;01/2023;1
